Simulations begin: 2025-02-03 01:34:38.612400
----- Starting simulation [systematic-constant] : 0 @ 2025-02-03 01:34:38.612481-----
Start coverage level: 0.6
Start exploration level: 0.764

local iteration: 35 | coverage level: 0.7666666666666667 | exploration_level: 0.8534887153313204

local iteration: 36 | coverage level: 0.7666666666666667 | exploration_level: 0.8529138875113277

local iteration: 37 | coverage level: 0.7666666666666667 | exploration_level: 0.8526746662664496

local iteration: 38 | coverage level: 0.7666666666666667 | exploration_level: 0.851467679538432

local iteration: 39 | coverage level: 0.7666666666666667 | exploration_level: 0.8510992835872807

local iteration: 40 | coverage level: 0.7666666666666667 | exploration_level: 0.8507737599122267

local iteration: 41 | coverage level: 0.7666666666666667 | exploration_level: 0.850080173697019

local iteration: 42 | coverage level: 0.7666666666666667 | exploration_level: 0.8491347737116733

local iteration: 43 | coverage level: 0.7666666666666667 | exploration_level: 0.8497529837469281

local iteration: 44 | coverage level: 0.7666666666666667 | exploration_level: 0.8491687763391356

local iteration: 45 | coverage level: 0.7666666666666667 | exploration_level: 0.8488144501231997

local iteration: 46 | coverage level: 0.8 | exploration_level: 0.8481833057388607

local iteration: 47 | coverage level: 0.8 | exploration_level: 0.8479911335076873

local iteration: 48 | coverage level: 0.8 | exploration_level: 0.8504590014514175

local iteration: 49 | coverage level: 0.8333333333333334 | exploration_level: 0.8512125977184928

local iteration: 50 | coverage level: 0.8333333333333334 | exploration_level: 0.8512566239763594

local iteration: 51 | coverage level: 0.8333333333333334 | exploration_level: 0.8522347504140287

local iteration: 52 | coverage level: 0.8333333333333334 | exploration_level: 0.8545336895862358

local iteration: 53 | coverage level: 0.8333333333333334 | exploration_level: 0.8554955030576519

local iteration: 54 | coverage level: 0.8333333333333334 | exploration_level: 0.8551721961077877

local iteration: 55 | coverage level: 0.8333333333333334 | exploration_level: 0.8568817210215237

local iteration: 56 | coverage level: 0.8333333333333334 | exploration_level: 0.8578764770328453

local iteration: 57 | coverage level: 0.9 | exploration_level: 0.8586249246110698

local iteration: 58 | coverage level: 0.9 | exploration_level: 0.8604221432080567

local iteration: 59 | coverage level: 0.9 | exploration_level: 0.8615121079819937

local iteration: 60 | coverage level: 0.9 | exploration_level: 0.8621432101484705

local iteration: 61 | coverage level: 0.9 | exploration_level: 0.8645997701712084

local iteration: 62 | coverage level: 0.9333333333333333 | exploration_level: 0.8654764183641961

local iteration: 63 | coverage level: 0.9 | exploration_level: 0.8648001849823748

local iteration: 64 | coverage level: 0.9 | exploration_level: 0.8665438476905407

local iteration: 65 | coverage level: 0.9 | exploration_level: 0.8663623842016103

local iteration: 66 | coverage level: 0.9 | exploration_level: 0.8686020749966082

local iteration: 67 | coverage level: 0.9 | exploration_level: 0.8689016892052382

local iteration: 68 | coverage level: 0.9333333333333333 | exploration_level: 0.8704042147496779

local iteration: 69 | coverage level: 0.9333333333333333 | exploration_level: 0.8702143968634493

local iteration: 70 | coverage level: 0.9333333333333333 | exploration_level: 0.8710072634856071

local iteration: 71 | coverage level: 0.9333333333333333 | exploration_level: 0.8721276709191634

local iteration: 72 | coverage level: 0.9333333333333333 | exploration_level: 0.8719420669321822

local iteration: 73 | coverage level: 0.9333333333333333 | exploration_level: 0.8715274505344894

local iteration: 74 | coverage level: 0.9333333333333333 | exploration_level: 0.8712250177794929

local iteration: 75 | coverage level: 0.9333333333333333 | exploration_level: 0.8705103655999034

local iteration: 76 | coverage level: 0.9333333333333333 | exploration_level: 0.8699516160109441

local iteration: 77 | coverage level: 0.9333333333333333 | exploration_level: 0.8698489390713694

local iteration: 78 | coverage level: 0.9333333333333333 | exploration_level: 0.870828588789887

local iteration: 79 | coverage level: 0.9333333333333333 | exploration_level: 0.8706043922870879

local iteration: 80 | coverage level: 0.9333333333333333 | exploration_level: 0.8721287230255903

local iteration: 81 | coverage level: 0.9 | exploration_level: 0.8719466277565514

local iteration: 82 | coverage level: 0.9 | exploration_level: 0.8725504308259023

local iteration: 83 | coverage level: 0.9 | exploration_level: 0.8716564709508122

local iteration: 84 | coverage level: 0.9 | exploration_level: 0.8702808734426181

local iteration: 85 | coverage level: 0.9 | exploration_level: 0.8696399916136283

local iteration: 86 | coverage level: 0.9 | exploration_level: 0.8696745931984744

local iteration: 87 | coverage level: 0.9 | exploration_level: 0.8680341170231113

local iteration: 88 | coverage level: 0.9 | exploration_level: 0.8681202576164049

local iteration: 89 | coverage level: 0.9 | exploration_level: 0.8664879501018155

local iteration: 90 | coverage level: 0.9 | exploration_level: 0.8664193632740412

local iteration: 91 | coverage level: 0.9 | exploration_level: 0.8653623421930196

local iteration: 92 | coverage level: 0.9 | exploration_level: 0.864270683404408

local iteration: 93 | coverage level: 0.9 | exploration_level: 0.8640954005905597

local iteration: 94 | coverage level: 0.9 | exploration_level: 0.8635194368756812

local iteration: 95 | coverage level: 0.9 | exploration_level: 0.862638693946903

local iteration: 96 | coverage level: 0.9 | exploration_level: 0.8620491144621425

local iteration: 97 | coverage level: 0.9 | exploration_level: 0.8607583957153468

local iteration: 98 | coverage level: 0.9 | exploration_level: 0.860188805850288

local iteration: 99 | coverage level: 0.9 | exploration_level: 0.8592171671668383

local iteration: 100 | coverage level: 0.9 | exploration_level: 0.8596457818719616
----- Starting simulation [annealing forward-constant] : 0 @ 2025-02-03 02:04:19.771144-----
Start coverage level: 0.6
Start exploration level: 0.764

annealing forward iteration: 1 | coverage level: 0.5666666666666667 | exploration_level: 0.7680294000000679

annealing forward iteration: 2 | coverage level: 0.5666666666666667 | exploration_level: 0.7709890129999596

annealing forward iteration: 3 | coverage level: 0.5666666666666667 | exploration_level: 0.7731077965129493

annealing forward iteration: 4 | coverage level: 0.6 | exploration_level: 0.7777097888419603

annealing forward iteration: 5 | coverage level: 0.6333333333333333 | exploration_level: 0.7792682995353857

annealing forward iteration: 6 | coverage level: 0.6666666666666666 | exploration_level: 0.7817347626651334

annealing forward iteration: 7 | coverage level: 0.6 | exploration_level: 0.7821739920414643

annealing forward iteration: 8 | coverage level: 0.6333333333333333 | exploration_level: 0.7851916253666325

annealing forward iteration: 9 | coverage level: 0.6333333333333333 | exploration_level: 0.7863013567323185

annealing forward iteration: 10 | coverage level: 0.6666666666666666 | exploration_level: 0.7887915084938174

annealing forward iteration: 11 | coverage level: 0.7 | exploration_level: 0.7919126487804885

annealing forward iteration: 12 | coverage level: 0.7 | exploration_level: 0.7933469007015284

annealing forward iteration: 13 | coverage level: 0.7 | exploration_level: 0.7943431263189717

